site_code,position,start_time,end_time,data_collection,number_of_records,remarks,serial_number,file_location
EXO-01,0,16/05/2024 09:00,17/07/2024 09:00,17/07/2024,1489,NA,65068604,data/data_sensors/EXO-T01/EXO-T01-0-2024_07_17.txt
EXO-01,1,16/05/2024 09:00,17/07/2024 09:00,17/07/2024,1489,NA,65069047,data/data_sensors/EXO-T01/EXO-T01-1-2024_07_17.txt
EXO-01,2,16/05/2024 09:00,17/07/2024 09:00,17/07/2024,1489,NA,65067557,data/data_sensors/EXO-T01/EXO-T01-2-2024_07_17.txt
EXO-01,0,12/03/2024 16:00,16/05/2024 08:00,13/05/2024,1553,NA,65068604,data/data_sensors/EXO-T01/EXO-T01-0-2024_05_16.txt
EXO-01,1,12/03/2024 16:00,16/05/2024 08:00,13/05/2024,1553,NA,65069047,data/data_sensors/EXO-T01/EXO-T01-1-2024_05_16.txt
EXO-01,2,12/03/2024 16:00,16/05/2024 08:00,13/05/2024,1553,NA,65067557,data/data_sensors/EXO-T01/EXO-T01-2-2024_05_16.txt
EXO-01,0,17/07/2024 09:45,10/09/2024 10:45,10/09/2024,1322,NA,65068604,data/data_sensors/EXO-T01/EXO-T01-0-2024_09_10.txt
EXO-01,1,17/07/2024 09:45,10/09/2024 10:45,10/09/2024,1322,NA,65069047,data/data_sensors/EXO-T01/EXO-T01-1-2024_09_10.txt
EXO-01,2,17/07/2024 09:45,10/09/2024 10:45,10/09/2024,1322,NA,65067557,data/data_sensors/EXO-T01/EXO-T01-2-2024_09_10.txt
EXO-02,0,17/05/2024 09:00,17/07/2024 10:00,17/07/2024,1466,NA,65067232,data/data_sensors/EXO-T02/EXO-02-0-2024_07_17.txt
EXO-02,1,17/05/2024 09:00,17/07/2024 10:00,17/07/2024,1466,NA,65068526,data/data_sensors/EXO-T02/EXO-02-1-2024_07_17.txt
EXO-02,2,17/05/2024 09:00,17/07/2024 10:00,17/07/2024,1466,NA,65067618,data/data_sensors/EXO-T02/EXO-02-2-2024_07_17.txt
EXO-02,0,22/04/2024 12:30,17/05/2024 08:30,17/05/2024,597,NA,65067232,data/data_sensors/EXO-T02/EXO-02-0-2024_05_17.txt
EXO-02,1,20/03/2024 11:00,28/03/2024 15:00,17/05/2024,197,Battery voltage drop Logger stopped,65068526,data/data_sensors/EXO-T02/EXO-02-1-2024_05_17.txt
EXO-02,2,22/04/2024 11:30,17/05/2024 07:30,17/05/2024,597,NA,65067618,data/data_sensors/EXO-T02/EXO-02-2-2024_05_17.txt
EXO-02,0,20/03/2024 11:00,27/03/2024 17:00,22/04/2024,175,Data logger on the ground Problematic data removed,65067232,data/data_sensors/EXO-T02/EXO-02-0-2024_04_22.txt
EXO-02,2,20/03/2024 11:00,28/03/2024 23:00,22/04/2024,205,Data logger on the ground Battery replacement,65067618,data/data_sensors/EXO-T02/EXO-02-2-2024_04_22.txt
EXO-02,0,17/07/2024 10:45,25/09/2024 10:45,25/09/2024,1681,NA,65067232,data/data_sensors/EXO-T02/EXO-02-0-2024_09_25.txt
EXO-02,1,17/07/2024 10:45,25/09/2024 10:45,25/09/2024,1681,NA,65068526,data/data_sensors/EXO-T02/EXO-02-1-2024_09_25.txt
EXO-02,2,17/07/2024 10:45,25/09/2024 10:45,25/09/2024,1681,NA,65067618,data/data_sensors/EXO-T02/EXO-02-2-2024_09_25.txt
EXO-03,0,21/06/2024 13:30,18/07/2024 10:30,18/07/2024,646,NA,437,data/data_sensors/EXO-T03/EXO-03-0-2024_07_18.txt
EXO-03,1,21/06/2024 13:30,18/07/2024 10:30,18/07/2024,646,NA,67,data/data_sensors/EXO-T03/EXO-03-1-2024_07_18.txt
EXO-03,2,21/06/2024 13:30,18/07/2024 10:30,18/07/2024,646,NA,223,data/data_sensors/EXO-T03/EXO-03-2-2024_07_18.txt
EXO-03,0,20/04/2024 19:45,21/06/2024 12:45,21/06/2024,1482,NA,437,data/data_sensors/EXO-T03/EXO-03-0-2024_06_21.txt
EXO-03,1,20/04/2024 19:24,21/06/2024 12:24,21/06/2024,1482,Data logger on the ground,67,data/data_sensors/EXO-T03/EXO-03-1-2024_06_21.txt
EXO-03,2,20/04/2024 19:45,21/06/2024 12:45,21/06/2024,1482,NA,223,data/data_sensors/EXO-T03/EXO-03-2-2024_06_21.txt
EXO-04,0,04/06/2024 10:00,18/07/2024 09:00,18/07/2024,1056,NA,65068508,data/data_sensors/EXO-T04/EXO-T04-0-2024_07_18.txt
EXO-04,1,04/06/2024 10:00,18/07/2024 09:00,18/07/2024,1056,NA,65067136,data/data_sensors/EXO-T04/EXO-T04-1-2024_07_18.txt
EXO-04,2,04/06/2024 10:00,18/07/2024 09:00,18/07/2024,1056,NA,65067254,data/data_sensors/EXO-T04/EXO-T04-2-2024_07_18.txt
EXO-04,0,16/05/2024 11:00,22/05/2024 16:00,04/06/2024,150,Data logger stopped Data logger changed,65067220,data/data_sensors/EXO-T04/EXO-T04-0-2024_06_04.txt
EXO-04,1,16/05/2024 11:00,04/06/2024 10:00,04/06/2024,456,NA,65067136,data/data_sensors/EXO-T04/EXO-T04-1-2024_06_04.txt
EXO-04,2,13/05/2024 09:30,04/06/2024 09:30,04/06/2024,529,NA,65067254,data/data_sensors/EXO-T04/EXO-T04-2-2024_06_04.txt
EXO-04,0,20/03/2024 14:00,03/04/2024 20:00,16/05/2024,343,Data logger stopped,65067220,data/data_sensors/EXO-T04/EXO-T04-0-2024_05_16.txt
