date,temperature_mean,humidity_mean,temperature_std,humidity_std,temperature_minimum,temperature_maximum,humidity_minimum,humidity_maximum,position
2023-08-08,13.5,77.70833333333333,2.335496832484569,12.911338099327718,11.5,19.5,60.5,91.0,T18-0-2023_11_23
2023-08-09,15.041666666666666,74.70833333333333,8.205137132450549,20.723813579439533,7.5,29.0,41.5,92.0,T18-0-2023_11_23
2023-08-10,12.145833333333334,77.60416666666667,4.6543088186872765,13.776144446001627,7.5,22.0,53.5,92.0,T18-0-2023_11_23
2023-08-11,16.25,79.02083333333333,5.399275313691966,12.106842447887518,9.0,29.0,54.0,91.0,T18-0-2023_11_23
2023-08-12,16.979166666666668,90.41666666666667,2.6105103893211425,3.3708038864015375,13.5,23.0,80.5,93.5,T18-0-2023_11_23
2023-08-13,17.0625,89.70833333333333,3.3632040235983047,6.392789189640809,13.0,27.0,69.5,94.0,T18-0-2023_11_23
2023-08-14,18.25,81.10416666666667,8.292217409427794,16.045437633189678,10.0,34.0,50.5,96.0,T18-0-2023_11_23
2023-08-15,17.229166666666668,86.6875,3.2369442335348455,8.016033525270517,14.0,25.5,64.0,93.5,T18-0-2023_11_23
2023-08-16,16.520833333333332,82.33333333333333,5.852311261497398,13.179914450691106,9.0,28.0,55.0,95.5,T18-0-2023_11_23
2023-08-17,16.6875,86.08333333333333,3.7498188362036675,8.341445327095752,9.5,25.0,70.0,93.5,T18-0-2023_11_23
2023-08-18,14.6875,83.4375,4.696928922641669,10.03181081664071,10.0,24.5,64.0,93.0,T18-0-2023_11_23
2023-08-19,12.958333333333334,91.0,1.8761469921708918,2.9377601642422575,10.0,17.5,82.0,94.5,T18-0-2023_11_23
2023-08-20,16.208333333333332,94.39583333333333,1.1879528122185543,1.0105870728858835,13.5,18.5,93.0,96.0,T18-0-2023_11_23
2023-08-21,17.583333333333332,94.33333333333333,2.3804761428476167,1.426965971583755,14.5,22.5,92.5,96.5,T18-0-2023_11_23
2023-08-22,17.520833333333332,85.4375,4.282114386980853,8.62921289674738,13.0,25.5,68.0,94.5,T18-0-2023_11_23
2023-08-23,17.3125,83.64583333333333,5.654572024707855,10.307742095214124,10.5,27.5,57.0,93.0,T18-0-2023_11_23
2023-08-24,15.354166666666666,83.16666666666667,4.959573891818308,8.51809667792593,10.0,27.5,66.0,93.0,T18-0-2023_11_23
2023-08-25,12.916666666666666,75.83333333333333,6.431354355077919,14.792526511036245,5.5,25.5,47.0,90.5,T18-0-2023_11_23
2023-08-26,16.583333333333332,78.85416666666667,6.485211717013775,13.104495716013437,5.5,29.0,54.0,91.0,T18-0-2023_11_23
2023-08-27,17.333333333333332,88.54166666666667,3.0633409818390263,4.101740528399968,14.5,24.5,75.5,91.5,T18-0-2023_11_23
2023-08-28,14.020833333333334,89.3125,1.802650021898115,2.0206138757275247,11.5,18.0,85.0,92.0,T18-0-2023_11_23
2023-08-29,16.09090909090909,73.22727272727273,3.3077045047750397,11.039392275763273,11.5,21.0,59.5,89.0,T18-0-2023_11_23
2023-08-08,19.666666666666668,91.625,1.8132508893914232,5.174785898074344,17.5,23.0,82.5,98.0,T18-1-2023_11_23
2023-08-09,19.0,98.0625,0.5710402407201608,0.3987071498033962,18.0,20.0,97.5,98.5,T18-1-2023_11_23
2023-08-10,17.958333333333332,98.85416666666667,0.9545846657358219,0.375301810914046,16.5,20.5,98.0,99.5,T18-1-2023_11_23
2023-08-11,17.479166666666668,98.35416666666667,0.7442411756522426,0.9264139213241502,16.5,19.0,96.5,99.5,T18-1-2023_11_23
2023-08-12,18.125,98.47916666666667,0.8998792189486611,0.4539480593412755,17.0,19.5,97.5,99.5,T18-1-2023_11_23
2023-08-13,19.4375,96.5625,1.8551485350118253,3.7657278873730546,16.5,25.0,84.0,99.0,T18-1-2023_11_23
2023-08-14,18.645833333333332,93.75,2.935832474587162,4.798097449034855,14.5,24.5,83.0,98.5,T18-1-2023_11_23
2023-08-15,18.8125,92.85416666666667,2.200852107707376,6.354524520690591,15.5,23.5,78.5,99.0,T18-1-2023_11_23
2023-08-16,20.3125,91.8125,3.3905639520651247,6.988830374247182,16.5,27.0,76.0,98.0,T18-1-2023_11_23
2023-08-17,20.708333333333332,95.70833333333333,1.2930976178445936,3.1274265940944606,19.0,23.5,88.0,98.5,T18-1-2023_11_23
2023-08-18,18.104166666666668,95.10416666666667,1.972524131481124,5.664495001603267,15.5,22.5,79.5,99.0,T18-1-2023_11_23
2023-08-19,17.8125,90.08333333333333,3.010172969174334,7.718789422242812,15.0,24.0,76.0,98.5,T18-1-2023_11_23
2023-08-20,16.854166666666668,96.75,1.8736105963264262,2.079924747802607,14.0,19.5,91.0,99.0,T18-1-2023_11_23
2023-08-21,16.229166666666668,98.95833333333333,1.1885245389600272,0.4643056214875365,13.5,18.0,98.0,99.5,T18-1-2023_11_23
2023-08-22,14.770833333333334,96.3125,2.156784879048616,3.4791693786329794,12.0,18.5,87.5,100.0,T18-1-2023_11_23
2023-08-23,15.145833333333334,98.4375,0.8531166221651602,0.6479482668560347,14.0,17.0,97.5,99.5,T18-1-2023_11_23
2023-08-24,15.354166666666666,98.64583333333333,0.8905197147277766,1.202164412783176,14.0,17.0,96.5,100.0,T18-1-2023_11_23
2023-08-25,17.1875,99.41666666666667,0.4618606038528339,0.1903467469067202,16.5,18.0,99.0,99.5,T18-1-2023_11_23
2023-08-26,17.333333333333332,99.39583333333333,0.318511028635303,0.5311833930964421,17.0,18.0,97.5,100.0,T18-1-2023_11_23
2023-08-27,17.0,99.27083333333333,0.7372097807744856,0.5512666573775634,16.0,18.0,98.0,100.0,T18-1-2023_11_23
2023-08-28,18.0625,98.91666666666667,0.5379611267675792,0.24077170617153842,17.5,19.5,98.5,99.5,T18-1-2023_11_23
2023-08-29,18.0,98.58333333333333,0.6756639246921762,0.5450701324374345,17.0,19.5,97.0,99.0,T18-1-2023_11_23
2023-08-30,17.520833333333332,96.10416666666667,2.1032023547266054,3.0430932727517024,15.0,21.5,90.0,99.0,T18-1-2023_11_23
2023-08-31,17.208333333333332,96.375,2.131118642090737,2.0067819794495563,15.0,21.5,91.0,98.0,T18-1-2023_11_23
2023-09-01,18.3125,94.75,2.6531871728004877,4.827457698011134,15.0,23.5,83.5,98.5,T18-1-2023_11_23
2023-09-02,18.0625,97.33333333333333,2.138226103471103,1.9981875845846924,15.5,21.5,92.5,99.0,T18-1-2023_11_23
2023-09-03,18.458333333333332,94.5,2.624784325163344,5.7065942024384695,15.5,24.5,79.0,100.0,T18-1-2023_11_23
2023-09-04,17.791666666666668,96.41666666666667,1.0206207261596576,3.577303656285746,16.0,20.0,86.0,98.5,T18-1-2023_11_23
2023-09-05,16.395833333333332,95.72916666666667,1.4140534294888845,4.918861583269274,15.0,20.0,82.0,99.0,T18-1-2023_11_23
2023-09-06,15.729166666666666,98.4375,0.5893837361225681,0.16891598117304404,15.0,17.0,98.0,98.5,T18-1-2023_11_23
2023-09-07,15.5,98.5,0.7518094115561123,0.3296902366978935,14.5,17.5,98.0,99.0,T18-1-2023_11_23
2023-09-08,15.166666666666666,98.60416666666667,0.5450701324374345,0.4164854678467621,14.5,16.5,97.5,99.0,T18-1-2023_11_23
2023-09-09,15.583333333333334,95.4375,2.109330548377575,5.048272412204604,13.0,20.0,82.0,99.0,T18-1-2023_11_23
2023-09-10,15.416666666666666,94.89583333333333,2.5438188797069703,6.001773590521727,12.5,21.5,75.5,99.0,T18-1-2023_11_23
2023-09-11,16.416666666666668,96.64583333333333,1.9981875845846921,3.3017754336860574,14.0,19.5,89.5,99.5,T18-1-2023_11_23
2023-09-12,17.5,96.1875,2.069446470835178,5.734738726469547,15.5,24.5,74.5,99.0,T18-1-2023_11_23
2023-09-13,17.958333333333332,98.52083333333333,0.7649476632660772,0.4032252220659628,17.0,19.5,97.5,99.0,T18-1-2023_11_23
2023-09-14,18.4375,98.58333333333333,0.6964584322313048,0.4082482904638631,17.5,20.0,98.0,100.0,T18-1-2023_11_23
2023-09-15,15.020833333333334,98.5,1.0782349371589408,0.6079187588743288,13.5,17.0,97.0,99.5,T18-1-2023_11_23
2023-09-16,13.9375,91.6875,1.5130770548498327,5.138965595458326,12.0,17.0,80.5,98.5,T18-1-2023_11_23
2023-09-17,13.8125,95.52083333333333,1.2581257627052267,2.9799298454926704,12.0,16.5,87.0,98.5,T18-1-2023_11_23
2023-09-18,14.770833333333334,93.02083333333333,2.8436778339306317,7.19522662825043,11.5,20.0,76.5,99.0,T18-1-2023_11_23
2023-09-19,16.0,98.10416666666667,1.7937088125857625,1.8765090545702297,13.0,18.0,92.5,99.0,T18-1-2023_11_23
2023-09-20,18.645833333333332,98.70833333333333,1.3790290114761015,0.29179603756088246,15.0,20.5,98.0,99.0,T18-1-2023_11_23
2023-09-21,14.25,97.4375,1.553397398691291,2.622281200720505,12.5,18.0,91.5,100.0,T18-1-2023_11_23
2023-09-22,16.5625,95.33333333333333,2.9315098498896437,5.832194505811957,13.0,24.0,74.5,98.5,T18-1-2023_11_23
2023-09-23,17.854166666666668,97.8125,1.59127489677348,1.4877214851548337,15.0,21.0,91.5,99.0,T18-1-2023_11_23
2023-09-24,15.166666666666666,94.0625,2.3804761428476167,7.5185459105265595,12.0,23.0,70.0,99.0,T18-1-2023_11_23
2023-09-25,15.770833333333334,95.29166666666667,2.2601421976555343,5.384996602208501,13.5,21.5,79.5,99.5,T18-1-2023_11_23
2023-09-26,16.104166666666668,98.9375,1.1129589103969133,0.37044333017286896,14.5,18.0,98.5,99.5,T18-1-2023_11_23
2023-09-27,16.1875,99.10416666666667,2.1356828660519396,0.48854635013669284,13.0,18.5,98.5,100.0,T18-1-2023_11_23
2023-09-28,15.854166666666666,99.125,0.8531166221651602,0.51604684654214,14.5,17.5,98.5,100.0,T18-1-2023_11_23
2023-09-29,17.958333333333332,98.0625,0.8198179366635999,0.3398369174100757,16.0,19.0,97.5,98.5,T18-1-2023_11_23
2023-09-30,15.166666666666666,98.625,0.940243570046875,0.51604684654214,14.0,16.5,97.5,99.5,T18-1-2023_11_23
2023-10-01,14.708333333333334,96.29166666666667,1.8703444618029859,3.2300109929368284,13.0,20.0,87.5,99.0,T18-1-2023_11_23
2023-10-02,13.270833333333334,97.9375,0.8337861088806402,0.5379611267675792,12.0,15.5,97.0,99.0,T18-1-2023_11_23
2023-10-03,14.583333333333334,98.66666666666667,1.8395809226599662,0.4340573661412156,12.0,17.5,98.0,99.5,T18-1-2023_11_23
2023-10-04,17.895833333333332,98.5625,0.531183393096442,0.37044333017286896,17.0,19.0,98.0,99.0,T18-1-2023_11_23
2023-10-05,17.604166666666668,98.70833333333333,0.4885463501366928,0.29179603756088246,17.0,18.5,98.0,99.0,T18-1-2023_11_23
2023-10-06,15.708333333333334,98.33333333333333,1.3262948280885714,0.6370220572706059,13.5,17.5,96.5,99.0,T18-1-2023_11_23
2023-10-07,14.208333333333334,98.33333333333333,1.3262948280885714,0.6702800625998361,12.0,17.0,97.0,99.5,T18-1-2023_11_23
2023-10-08,14.9375,98.41666666666667,0.8761638222834021,0.56465970257328,14.0,17.0,97.5,99.0,T18-1-2023_11_23
2023-10-09,14.9375,98.4375,0.947680234091097,0.3987071498033962,13.5,16.5,97.5,99.0,T18-1-2023_11_23
2023-10-10,15.6875,98.47916666666667,0.3848348036326191,0.47729233286791106,15.0,16.5,97.5,99.0,T18-1-2023_11_23
2023-10-11,15.208333333333334,98.41666666666667,0.6743219890582957,0.3806934938134406,14.0,16.5,98.0,99.0,T18-1-2023_11_23
2023-10-12,14.416666666666666,98.58333333333333,1.3242443839434614,0.38069349381344053,13.0,17.5,97.5,99.0,T18-1-2023_11_23
2023-10-13,14.145833333333334,98.58333333333333,0.878229031565262,0.24077170617153837,13.0,15.5,98.0,99.0,T18-1-2023_11_23
2023-10-14,15.645833333333334,98.77083333333333,0.6833289147966016,0.570643547208776,14.5,17.0,98.0,99.5,T18-1-2023_11_23
2023-10-15,17.666666666666668,99.0,0.9963702239571424,0.29488391230979427,16.0,19.0,98.5,99.5,T18-1-2023_11_23
2023-10-16,15.104166666666666,99.04166666666667,0.9322619368184993,0.29179603756088246,14.0,17.5,98.5,99.5,T18-1-2023_11_23
2023-10-17,15.458333333333334,98.39583333333333,1.5102308106542113,1.5946866031665405,14.0,20.5,91.5,99.5,T18-1-2023_11_23
2023-10-18,16.875,98.16666666666667,0.9237212077056678,0.4082482904638631,15.0,18.5,97.5,99.0,T18-1-2023_11_23
2023-10-19,12.25,98.27083333333333,1.179535649239177,0.7220015456244244,10.5,15.0,95.5,99.0,T18-1-2023_11_23
2023-10-20,11.8125,98.91666666666667,1.7371422058882402,0.24077170617153842,10.0,16.5,98.5,99.5,T18-1-2023_11_23
2023-10-21,11.541666666666666,99.0,0.7359800721939871,0.39009474880274697,10.5,14.0,98.0,99.5,T18-1-2023_11_23
2023-10-22,11.6875,99.47916666666667,0.6395055834817612,0.49954689614617304,10.5,13.0,98.5,100.0,T18-1-2023_11_23
2023-10-23,13.8125,99.22916666666667,2.3210403402072886,1.233404326198047,10.5,17.0,95.5,100.0,T18-1-2023_11_23
2023-10-24,17.0625,98.83333333333333,0.8117680649695131,0.24077170617153842,15.5,18.0,98.5,99.0,T18-1-2023_11_23
2023-10-25,16.229166666666668,98.89583333333333,1.1323231858005245,0.2544886888520258,13.0,17.0,98.0,99.0,T18-1-2023_11_23
2023-10-26,10.958333333333334,99.33333333333333,1.0520855754029776,0.4584156711285424,9.5,13.0,98.5,100.0,T18-1-2023_11_23
2023-10-27,12.25,98.97916666666667,1.3987572123604706,1.6183671767681709,10.5,16.0,92.5,100.0,T18-1-2023_11_23
2023-10-28,11.958333333333334,99.9375,1.0520855754029774,0.16891598117304404,10.0,13.5,99.5,100.0,T18-1-2023_11_23
2023-10-29,9.958333333333334,99.16666666666667,1.2150922908825976,1.863065885242287,8.5,14.0,91.5,100.0,T18-1-2023_11_23
2023-10-30,11.020833333333334,99.04166666666667,2.700560194166914,4.2781463546592295,8.5,20.5,79.0,100.0,T18-1-2023_11_23
2023-10-31,12.791666666666666,99.79166666666667,1.187952812218554,0.29179603756088246,10.5,15.0,99.0,100.0,T18-1-2023_11_23
2023-11-01,14.5,99.47916666666667,1.905369985753081,1.7161582897163992,11.5,18.0,92.0,100.0,T18-1-2023_11_23
2023-11-02,12.0,96.9375,2.335919891419745,6.958436387330256,9.5,20.0,72.0,100.0,T18-1-2023_11_23
2023-11-03,14.75,99.25,1.944892977943047,2.0851441405707476,11.5,18.0,90.0,100.0,T18-1-2023_11_23
2023-11-04,9.770833333333334,97.52083333333333,1.7630209169556634,5.816915301359338,8.0,16.5,73.0,100.0,T18-1-2023_11_23
2023-11-05,8.395833333333334,99.97916666666667,1.112958910396913,0.10206207261596573,7.0,11.0,99.5,100.0,T18-1-2023_11_23
2023-11-06,9.229166666666666,98.125,2.629180590927551,4.445931212673683,6.5,18.5,83.0,100.0,T18-1-2023_11_23
2023-11-07,13.125,99.97916666666667,1.5759745087322679,0.1020620726159657,10.5,15.5,99.5,100.0,T18-1-2023_11_23
2023-11-08,15.5,100.0,0.9088932591463857,0.0,14.0,17.0,100.0,100.0,T18-1-2023_11_23
2023-11-09,15.666666666666666,99.91666666666667,0.6538625481582941,0.19034674690672024,14.0,16.5,99.5,100.0,T18-1-2023_11_23
2023-11-10,16.666666666666668,99.95833333333333,0.28232985128663984,0.14116492564331995,16.0,17.0,99.5,100.0,T18-1-2023_11_23
2023-11-11,15.104166666666666,99.91666666666667,0.859463516521722,0.1903467469067202,14.0,17.0,99.5,100.0,T18-1-2023_11_23
2023-11-12,15.020833333333334,99.29166666666667,0.4995468961461729,0.4643056214875366,14.5,16.0,98.5,100.0,T18-1-2023_11_23
2023-11-13,12.333333333333334,99.39583333333333,1.0390910185963191,0.441813620616566,10.5,14.5,98.5,100.0,T18-1-2023_11_23
2023-11-14,13.479166666666666,99.70833333333333,1.9475690905122829,0.25180507759266746,11.0,16.5,99.5,100.0,T18-1-2023_11_23
2023-11-15,16.479166666666668,99.54166666666667,0.4032252220659627,0.14116492564331992,15.5,17.0,99.5,100.0,T18-1-2023_11_23
2023-11-16,16.375,99.5,0.3686048903872428,0.0,15.5,17.0,99.5,99.5,T18-1-2023_11_23
2023-11-17,14.458333333333334,99.39583333333333,1.3666578295932037,0.20742555849952668,12.0,16.5,99.0,99.5,T18-1-2023_11_23
2023-11-18,12.0625,99.10416666666667,1.0458250331675945,0.2544886888520258,10.5,14.0,98.5,99.5,T18-1-2023_11_23
