X;Y;locationID;locationName;habitat;SRTM_elevation
-27.2396584927273;38.6967831060606;TER-EXO-T01;Mata estado;exotic forest;425
-27.26033453;38.6997135612121;TER-EXO-T02;Matela;exotic forest;394
-27.3099686727273;38.7687845528788;TER-PRIBS-T28;Pico Rachado;exotic forest;461
-27.35159037;38.7649328868182;TER-EXO-T04;Serreta 400;exotic forest;376
-27.1378448860606;38.7378029801515;TER-PRIBS-T09;Fontinhas;exotic forest;256
-27.1926807816667;38.7687072674242;TER-PRIBS-T15;Agualva;exotic forest;367
-27.24945067;38.7793934324242;TER-PRIBS-T27;Gruta Chocolade;exotic forest;271
-27.261589184697;38.7710242821212;TER-PRIBS-T06;Caparica;exotic forest;336
-27.2625395;38.7615997339394;TER-EXO-T09;Caparica Horses;exotic forest;417
-27.2501494868182;38.75861316;TER-EXO-T10;Gruta dos Balcões;exotic forest;459
-27.2188025951515;38.7618814209091;TER-NFBF-T-01;Morro Assombrado;native forest;680
-27.2331292057576;38.7521949128788;TER-NFBF-T-02;Biscoito da Ferraria;native forest;590
-27.2071363568182;38.7501759793939;TER-NFBF-TP41;Pico Alto;native forest;673
-27.2273031630303;38.7335211598485;TER-NFPG-T-33;Pico Galhardo;native forest;643
-27.2900470051515;38.7373166139394;TER-NFSB-T-07;Lomba;native forest;683
-27.3077141578788;38.7353447956061;TER-NFSB-T164B;Caldeira Santa Bárbara;native forest;899
-27.3313581504545;38.7523821037879;TER-NFSB-TE48;Lagoinha;native forest;678
-27.2006071969697;38.736477240303;TER-NFTB-T-15;Terra Brava A;native forest;637
-27.1972451777273;38.7320129613636;TER-NFTB-T-18;Terra Brava B;native forest;679
-27.3202237883333;38.7468138828788;TER-NFSB-TE49;Lagoa do Pinheiro;native forest;927
