locationID,canopy_openess,FD_mean,UCI,foliage_height_diversity,vertical_eveness,ENL0D,ENL1D,ENL2D,SSCI,Elevation,Slope_30,Aspect_30
TER-EXO-T01,2.95,1.86,3.28,2.36,0.85,16,10.64,9.78,4.09,425,2.80419766902924,160.949867248535
TER-EXO-T01,3.07,2.03,2.62,2.32,0.86,15,10.22,8.92,4.72,425,2.80419766902924,160.949867248535
TER-EXO-T01,2.5,2.07,3.02,2.24,0.83,15,9.43,8.67,4.82,425,2.80419766902924,160.949867248535
TER-EXO-T01,3.0,2.11,3.59,2.34,0.83,17,10.41,9.46,5.36,425,2.80419766902924,160.949867248535
TER-EXO-T01,2.61,2.06,2.98,2.47,0.87,17,11.81,10.57,5.49,425,2.80419766902924,160.949867248535
TER-EXO-T02,2.52,1.83,3.26,2.2,0.89,12,9.03,8.11,3.53,394,3.38708585500717,260.279983520508
TER-EXO-T02,2.17,2.32,6.76,1.87,0.85,9,6.46,5.93,4.47,394,3.38708585500717,260.279983520508
TER-EXO-T02,2.15,2.54,4.61,1.83,0.83,9,6.25,5.62,5.0,394,3.38708585500717,260.279983520508
TER-EXO-T02,2.86,1.79,4.76,2.24,0.87,13,9.35,8.25,3.41,394,3.38708585500717,260.279983520508
TER-EXO-T02,26.26,2.27,5.72,2.0,0.87,10,7.37,6.63,4.71,394,3.38708585500717,260.279983520508
TER-PRIBS-T28,3.62,1.93,2.84,2.75,0.85,25,15.6,13.32,5.45,461,5.79279583692551,47.4684534072876
TER-PRIBS-T28,15.34,1.72,2.68,2.58,0.88,19,13.25,12.12,3.88,461,5.79279583692551,47.4684534072876
TER-PRIBS-T28,5.52,1.95,3.03,2.58,0.79,26,13.25,11.47,5.1,461,5.79279583692551,47.4684534072876
TER-PRIBS-T28,3.42,1.94,3.6,2.62,0.84,23,13.78,11.69,5.07,461,5.79279583692551,47.4684534072876
TER-PRIBS-T28,2.96,2.09,5.46,2.46,0.77,24,11.71,9.75,5.37,461,5.79279583692551,47.4684534072876
TER-EXO-T04,2.32,2.47,3.95,1.74,0.72,11,5.68,4.96,4.26,376,6.10991847515106,289.95751953125
TER-EXO-T04,2.08,2.55,5.01,1.76,0.71,12,5.83,5.04,4.53,376,6.10991847515106,289.95751953125
TER-EXO-T04,2.16,2.97,6.38,1.6,0.77,8,4.94,4.4,5.02,376,6.10991847515106,289.95751953125
TER-EXO-T04,1.99,4.67,11.04,1.41,0.72,7,4.09,3.45,6.74,376,6.10991847515106,289.95751953125
TER-EXO-T04,2.03,3.28,8.02,1.71,0.71,11,5.53,4.55,6.04,376,6.10991847515106,289.95751953125
TER-PRIBS-T09,2.82,1.85,3.42,2.67,0.79,29,14.46,12.05,4.6,256,5.72030435785685,61.3676147460938
TER-PRIBS-T09,4.23,1.82,2.74,2.62,0.79,28,13.78,11.58,4.35,256,5.72030435785685,61.3676147460938
TER-PRIBS-T09,2.91,1.98,3.28,2.67,0.79,29,14.4,12.13,5.52,256,5.72030435785685,61.3676147460938
TER-PRIBS-T09,2.78,2.06,3.64,2.41,0.74,26,11.09,9.31,5.03,256,5.72030435785685,61.3676147460938
TER-PRIBS-T09,3.3,1.99,3.43,2.41,0.76,24,11.14,9.7,4.8,256,5.72030435785685,61.3676147460938
TER-PRIBS-T27,3.5,1.61,2.62,2.8,0.82,31,16.43,13.96,3.51,271,11.0437319278717,276.758018034339
TER-PRIBS-T27,3.53,1.78,4.31,2.79,0.82,30,16.29,13.79,4.51,271,11.0437319278717,276.758018034339
TER-PRIBS-T27,3.33,1.72,3.31,2.77,0.81,31,15.98,13.84,4.18,271,11.0437319278717,276.758018034339
TER-PRIBS-T27,3.61,1.63,2.9,2.79,0.81,31,16.3,14.29,3.7,271,11.0437319278717,276.758018034339
TER-PRIBS-T27,3.16,1.66,3.87,2.73,0.79,31,15.3,12.48,3.61,271,11.0437319278717,276.758018034339
TER-PRIBS-T06,2.47,1.93,3.03,2.44,0.9,15,11.45,10.59,4.74,336,4.25853684535338,327.770790100098
TER-PRIBS-T06,2.87,1.76,2.83,2.62,0.91,18,13.77,12.75,4.22,336,4.25853684535338,327.770790100098
TER-PRIBS-T06,2.66,1.79,2.73,2.62,0.92,17,13.74,12.67,4.41,336,4.25853684535338,327.770790100098
TER-PRIBS-T06,2.25,1.97,2.91,2.23,0.87,13,9.33,8.5,4.29,336,4.25853684535338,327.770790100098
TER-PRIBS-T06,2.55,1.96,3.19,2.46,0.91,15,11.71,10.73,4.92,336,4.25853684535338,327.770790100098
TER-EXO-T09,2.9,1.74,2.69,2.51,0.84,20,12.36,10.83,3.72,417,6.25743973255157,319.074768066406
TER-EXO-T09,2.51,1.78,4.06,2.43,0.83,19,11.37,10.28,3.83,417,6.25743973255157,319.074768066406
TER-EXO-T09,2.7,1.77,4.18,2.4,0.86,16,11.0,9.56,3.65,417,6.25743973255157,319.074768066406
TER-EXO-T09,2.33,1.81,3.72,2.35,0.85,16,10.46,9.32,3.75,417,6.25743973255157,319.074768066406
TER-EXO-T09,3.94,1.7,3.16,2.52,0.8,23,12.42,10.57,3.47,417,6.25743973255157,319.074768066406
TER-EXO-T10,2.22,2.17,4.61,1.94,0.81,11,6.99,6.32,4.16,459,1.46491578221321,184.486320495605
TER-EXO-T10,2.26,2.14,4.01,2.04,0.75,15,7.72,6.95,4.35,459,1.46491578221321,184.486320495605
TER-EXO-T10,2.13,2.58,5.79,1.67,0.7,11,5.32,4.73,4.36,459,1.46491578221321,184.486320495605
TER-EXO-T10,2.31,3.2,8.9,1.45,0.63,10,4.25,3.69,4.57,459,1.46491578221321,184.486320495605
TER-EXO-T10,2.32,2.19,4.05,1.95,0.89,9,7.02,6.36,4.28,459,1.46491578221321,184.486320495605
TER-NFBF-T-01,4.48,2.76,5.06,1.44,0.74,7,4.22,3.8,3.89,680,4.52870184183121,234.82691192627
TER-NFBF-T-01,10.2,3.31,4.2,0.97,0.5,7,2.63,2.3,2.72,680,4.52870184183121,234.82691192627
TER-NFBF-T-01,3.2,4.25,9.95,1.12,0.69,5,3.05,2.62,4.03,680,4.52870184183121,234.82691192627
TER-NFBF-T-01,8.3,5.47,9.72,1.08,0.67,5,2.94,2.57,4.96,680,4.52870184183121,234.82691192627
TER-NFBF-T-01,2.62,4.52,9.85,1.05,0.59,6,2.86,2.47,3.91,680,4.52870184183121,234.82691192627
TER-NFBF-T-02,3.52,3.88,8.46,1.31,0.51,13,3.7,2.79,4.01,590,1.7258982360363,56.1900653839111
TER-NFBF-T-02,3.27,4.47,10.31,1.4,0.56,12,4.07,3.02,5.23,590,1.7258982360363,56.1900653839111
TER-NFBF-T-02,3.11,6.51,11.41,1.39,0.72,7,4.02,3.53,10.64,590,1.7258982360363,56.1900653839111
TER-NFBF-T-02,3.27,3.03,5.72,1.51,0.52,18,4.53,3.74,4.31,590,1.7258982360363,56.1900653839111
TER-NFBF-T-02,14.44,3.06,5.17,1.51,0.55,16,4.53,3.39,3.92,590,1.7258982360363,56.1900653839111
TER-NFBF-TP41,2.15,2.81,5.06,1.4,0.56,12,4.07,3.34,3.48,673,17.6445562839508,15.2895784378052
TER-NFBF-TP41,17.5,2.93,6.8,1.9,0.55,32,6.71,4.69,5.27,673,17.6445562839508,15.2895784378052
TER-NFBF-TP41,4.09,3.01,6.02,1.54,0.5,22,4.65,3.4,3.84,673,17.6445562839508,15.2895784378052
TER-NFBF-TP41,3.66,3.39,9.99,1.64,0.58,17,5.13,4.56,6.37,673,17.6445562839508,15.2895784378052
TER-NFBF-TP41,2.81,2.64,5.61,1.58,0.55,18,4.88,4.24,4.05,673,17.6445562839508,15.2895784378052
TER-NFPG-T-33,5.9,2.49,4.72,1.85,0.8,10,6.34,5.88,5.04,643,3.72004723548889,300.215225219727
TER-NFPG-T-33,4.13,2.78,6.0,1.74,0.76,10,5.7,5.03,5.21,643,3.72004723548889,300.215225219727
TER-NFPG-T-33,4.83,2.72,7.71,1.85,0.8,10,6.37,5.99,6.01,643,3.72004723548889,300.215225219727
TER-NFPG-T-33,18.61,3.82,9.67,1.53,0.78,7,4.6,4.26,6.96,643,3.72004723548889,300.215225219727
TER-NFPG-T-33,2.68,2.88,6.42,1.59,0.82,7,4.9,4.26,4.64,643,3.72004723548889,300.215225219727
TER-NFSB-T-07,2.27,2.36,4.1,1.92,0.8,11,6.83,6.15,4.74,683,17.0539615154266,88.0971164703369
TER-NFSB-T-07,2.22,2.8,6.96,1.7,0.77,9,5.46,4.81,5.04,683,17.0539615154266,88.0971164703369
TER-NFSB-T-07,2.31,2.53,5.83,1.7,0.77,9,5.48,4.85,4.32,683,17.0539615154266,88.0971164703369
TER-NFSB-T-07,5.84,2.46,4.75,2.1,0.82,13,8.16,7.29,5.99,683,17.0539615154266,88.0971164703369
TER-NFSB-T-07,2.3,2.58,5.54,1.92,0.8,11,6.79,6.16,5.62,683,17.0539615154266,88.0971164703369
TER-NFSB-T164B,2.16,2.26,3.79,1.98,0.7,17,7.26,6.33,4.5,899,2.75327384471893,249.699340820312
TER-NFSB-T164B,4.71,3.02,8.55,1.88,0.63,20,6.56,4.9,5.79,899,2.75327384471893,249.699340820312
TER-NFSB-T164B,2.87,2.52,6.82,2.06,0.73,17,7.81,6.67,5.78,899,2.75327384471893,249.699340820312
TER-NFSB-T164B,2.15,2.28,5.09,1.98,0.73,15,7.26,5.95,4.36,899,2.75327384471893,249.699340820312
TER-NFSB-T164B,2.63,3.65,9.12,1.74,0.62,17,5.72,4.24,6.5,899,2.75327384471893,249.699340820312
TER-NFSB-TE48,2.07,2.9,6.29,1.53,0.79,7,4.61,4.15,4.54,678,11.0817623138428,353.462028503418
TER-NFSB-TE48,2.92,3.29,8.35,1.37,0.71,7,3.95,3.3,4.14,678,11.0817623138428,353.462028503418
TER-NFSB-TE48,3.15,3.85,8.93,1.3,0.67,7,3.67,3.1,4.6,678,11.0817623138428,353.462028503418
TER-NFSB-TE48,2.97,2.88,7.66,1.51,0.69,9,4.51,3.91,4.24,678,11.0817623138428,353.462028503418
TER-NFSB-TE48,2.68,2.96,7.45,1.68,0.81,8,5.36,4.76,5.44,678,11.0817623138428,353.462028503418
TER-NFTB-T-15,2.18,2.48,4.95,1.86,0.72,13,6.4,5.72,4.88,637,5.62233865261078,189.41340637207
TER-NFTB-T-15,2.76,2.48,4.6,1.79,0.78,10,5.97,5.21,4.48,637,5.62233865261078,189.41340637207
TER-NFTB-T-15,4.11,2.5,6.51,1.64,0.68,11,5.16,4.53,3.99,637,5.62233865261078,189.41340637207
TER-NFTB-T-15,2.24,2.5,5.11,1.94,0.7,16,6.96,6.27,5.37,637,5.62233865261078,189.41340637207
TER-NFTB-T-15,2.54,2.56,4.84,2.07,0.83,12,7.9,7.17,6.36,637,5.62233865261078,189.41340637207
TER-NFTB-T-18,2.73,3.25,7.14,1.49,0.71,8,4.42,3.82,4.85,679,12.9204936027527,36.883246421814
TER-NFTB-T-18,3.3,2.49,5.91,1.86,0.81,10,6.41,5.68,4.88,679,12.9204936027527,36.883246421814
TER-NFTB-T-18,2.58,2.44,4.46,1.77,0.81,9,5.87,5.16,4.32,679,12.9204936027527,36.883246421814
TER-NFTB-T-18,4.1,2.51,5.38,1.82,0.79,10,6.19,5.56,4.85,679,12.9204936027527,36.883246421814
TER-NFTB-T-18,2.42,2.82,5.51,1.89,0.79,11,6.64,6.02,6.43,679,12.9204936027527,36.883246421814
TER-PRIBS-T15,3.77,1.89,3.89,2.51,0.87,18,12.31,11.47,4.71,367,7.54581332206726,55.2800540924072
TER-PRIBS-T15,2.74,2.23,4.08,2.31,0.76,21,10.1,8.87,5.78,367,7.54581332206726,55.2800540924072
TER-PRIBS-T15,3.02,2.02,4.35,2.27,0.82,16,9.71,8.61,4.52,367,7.54581332206726,55.2800540924072
TER-PRIBS-T15,2.66,2.26,5.9,2.32,0.86,15,10.2,9.38,6.21,367,7.54581332206726,55.2800540924072
TER-PRIBS-T15,3.54,1.99,3.75,2.6,0.85,21,13.41,12.42,5.67,367,7.54581332206726,55.2800540924072
