"VIF value";"variable"
1.10174352452047;"energy_tot"
1.2087009569799;"canopy_openess"
1.68808854713801;"northness"
1.45771083708465;"eastness"
3.2495750611393;"ENL0D"
1.84325522029336;"SSCI"
2.36290107519837;"Elevation"
1.92348077015609;"Slope_30"
4.3471533082021;"foliage_height_diversity"
1.20724956308488;"energy_tot:canopy_openess"
1.7263713310568;"energy_tot:northness"
1.48170888721874;"energy_tot:eastness"
3.3336298653877;"energy_tot:ENL0D"
1.91855646396723;"energy_tot:SSCI"
2.42932137527772;"energy_tot:Elevation"
2.0213318479874;"energy_tot:Slope_30"
4.48651339694839;"energy_tot:foliage_height_diversity"
