"site_code";"nb_day_GRD_records";"nb_day_UND_records";"nb_day_CAN_records"
"TER-EXO-T01";7992;7992;7464
"TER-EXO-T02";6528;6624;4176
"TER-EXO-T04";6456;7824;6864
"TER-EXO-T09";1584;6216;4512
"TER-EXO-T10";5376;7824;7056
"TER-NFBF-T-01";8976;6024;5760
"TER-NFBF-T-02";7560;7536;7968
"TER-NFBF-TP41";5352;5832;13176
"TER-NFPG-T-33";7368;4896;3984
"TER-NFSB-T-07";4080;8880;8184
"TER-NFSB-T164B";10920;7776;11160
"TER-NFSB-TE48";6960;11016;7488
"TER-NFTB-T-15";3072;13560;13560
"TER-NFTB-T-18";5952;10824;12600
"TER-PRIBS-T06";7296;3936;7296
"TER-PRIBS-T09";7704;7440;4368
"TER-PRIBS-T15";2400;4080;6408
"TER-PRIBS-T27";7128;7128;7128
"TER-PRIBS-T28";7128;7128;7128
