"response";"n";"AIC_CAR1";"BIC_CAR1";"logLik_CAR1";"R2_marginal";"R2_conditional"
"GRD_DTR";4993;17556.7123814612;17700.0598100923;-8756.35619073062;0.438544539856899;NA
"GRD_DVPDR";4993;-29711.8770498982;-29568.5296212672;14877.9385249491;0.824500518633126;NA
"UND_DTR";5939;22902.3916621479;23049.5561752042;-11429.1958310739;0.43613212787443;NA
"UND_DVPDR";5939;-13271.9923426972;-13124.8278296408;6657.99617134859;0.686010224586593;NA
"CAN_DTR";6095;24267.5355875494;24415.2705164715;-12111.7677937747;0.483726257758409;NA
"CAN_DVPDR";6095;-11815.5541909446;-11667.8192620225;5929.77709547232;0.657511516319423;NA
"GRD_temperature_mean";4993;16665.9165417024;16802.748178123;-8311.95827085122;0.172334068477248;NA
"GRD_vpd_kPA_mean";4993;-35186.9996621984;-35043.6522335674;17615.4998310992;0.843394826646006;NA
"UND_temperature_mean";5939;21303.139618302;21443.6148353104;-10630.569809151;0.186783332404162;NA
"UND_vpd_kPA_mean";5939;-21689.4985525698;-21542.3340395134;10866.7492762849;0.750632475273651;NA
"CAN_temperature_mean";6095;22209.5132587165;22350.5329635967;-11083.7566293583;0.192461895016739;0.192471473715994
"CAN_vpd_kPA_mean";6095;-21497.4935507573;-21349.7586218352;10770.7467753787;0.630708617299027;NA
